Comment,Domain,Sarcasm
Brilliant — the check-out receipt included charges from 2019.,hotels,Yes
Great — the 'surprise' subscription box was a surprise of garbage.,ecommerce,Yes
Great job making the back button exit the app entirely.,apps,Yes
Swipe gestures are responsive and don't misfire.,apps,No
Service was warm and attentive without being intrusive.,restaurants,No
The room was adapted for accessibility without feeling clinical.,hotels,No
The restaurant verified my booking preference before seating.,restaurants,No
Super — the hospital cafeteria served nothing a patient could actually eat.,healthcare,Yes
The GP spent 20 minutes with me without feeling rushed.,healthcare,No
Super clean — found someone else's hair in every corner.,hotels,Yes
The clinic's reminder app syncs with my calendar.,healthcare,No
My dietary restrictions were noted and accommodated.,healthcare,No
The script's callbacks were subtle and rewarding on re-watch.,movies,No
Super — the wellness centre charged me for a session I was never booked for.,healthcare,Yes
The app loads quickly and syncs across devices seamlessly.,apps,No
The restaurant's playlist was well-chosen and at the right volume.,restaurants,No
The villain's motivation was credible and even sympathetic.,movies,No
Great — the flashback scenes had better lighting than the present ones.,movies,Yes
Video playback is smooth even at the highest quality setting.,apps,No
Wonderful — the bar closed at 8pm in a city that sleeps at midnight.,hotels,Yes
Fantastic — the wake-up call came an hour late.,hotels,Yes
Notifications are grouped intelligently so my screen isn't cluttered.,apps,No
Brilliant — the 'award-winning' chef seemed to have won for something else.,restaurants,Yes
The concierge sourced tickets for a sold-out event.,hotels,No
Super — the service charge was added twice to the bill.,restaurants,Yes
Super — the mocktail cost more than the cocktail.,restaurants,Yes
Brilliant — the surge protector tripped on the first surge.,ecommerce,Yes
Great — the sommelier's recommendation cost ten times the meal.,restaurants,Yes
Super — the soundtrack drowned out every line of dialogue.,movies,Yes
Magnificent — the app auto-plays audio in silent mode.,apps,Yes
Love how the contact import duplicates every entry.,apps,Yes
Super — the 'complimentary' shuttle ran once a day.,hotels,Yes
Fantastic — the villain had the scariest motivation: nothing.,movies,Yes
Wonderful — the audio quality got worse with HD mode on.,apps,Yes
"Wonderful — the dietitian told me to eat less, charged me $300.",healthcare,Yes
Offline mode works perfectly for my commute.,apps,No
The script avoided every cliché the genre usually demands.,movies,No
Wonderful — the 90-minute film felt like four hours.,movies,Yes
Super — the UV light sanitiser gave everything a purple tint.,ecommerce,Yes
Terrific — the chat feature sends messages twice.,apps,Yes
Super — the rooftop bar had no roof.,hotels,Yes
Brilliant — the room mirror was cracked and made me look distorted.,hotels,Yes
Brilliant — the sequel undid everything the original achieved.,movies,Yes
"Wonderful — the dietitian told me to eat less, charged me $300.",healthcare,Yes
The lunch special is one of the better deals in the area.,restaurants,No
Wonderful — the nurse's tone was more frightening than the diagnosis.,healthcare,Yes
The product came pre-calibrated and was accurate out of the box.,ecommerce,No
Great — the bathroom had a ceiling fan that sprayed water.,hotels,Yes
Every accessory listed in the description was included.,ecommerce,No
The service charge covered genuinely excellent service.,restaurants,No
Phenomenal — the home feed is 90% sponsored posts.,apps,Yes
Product arrived within the premium delivery window.,ecommerce,No
Wonderful — the 'natural wine' tasted naturally of vinegar.,restaurants,Yes
Honest reviews on the product page helped me choose correctly.,ecommerce,No
"The casting was perfect across every role, large and small.",movies,No
Brilliant service — housekeeping skipped my room for three days.,hotels,Yes
Great — the hotel charged a resort fee for a resort that wasn't there.,hotels,Yes
The diabetes nurse educator's advice was practical.,healthcare,No
Super — the soundtrack drowned out every line of dialogue.,movies,Yes
The dentist explained each step before performing it.,healthcare,No
Brilliant — enabling Wi-Fi calling disables regular calling.,apps,Yes
Fantastic dialogue — every line was a cliché.,movies,Yes
The water in the room was refreshed twice daily.,hotels,No
Brilliant — the villain's plan required the hero to do nothing.,movies,Yes
Discharge instructions were clear and written at an accessible level.,healthcare,No
Brilliant — the calligraphy pen arrived without ink.,ecommerce,Yes
The noise level is as quiet as the specs promise.,ecommerce,No
Fantastic — the barcode scanner needs perfect lighting.,apps,Yes
Voice commands are recognised accurately in my accent.,apps,No
Fantastic — the hearing test room was next to a construction site.,healthcare,Yes
The atmosphere was lively without being too loud for conversation.,restaurants,No
Loved the private beach that was shared with 600 guests.,hotels,Yes
The colour palette shifted subtly with the emotional arc.,movies,No
The birthday table decoration was set up perfectly on arrival.,restaurants,No
The sommelier's recommendation was memorable and affordable.,restaurants,No
Delivery to my remote address was on schedule.,ecommerce,No
The community nurse visited at the agreed time.,healthcare,No
So pleased that the tutorial can't be skipped.,apps,Yes
The hotel's noise policy was enforced respectfully.,hotels,No
Loved the turndown service that just moved the pillows.,hotels,Yes
Fantastic — the film ended mid-scene and called it art.,movies,Yes
Great — the continental breakfast contained zero continental items.,hotels,Yes
The interactive chart zooms and scrolls without lag.,apps,No
The children's menu was nutritious and imaginative.,restaurants,No
Super convenient that history is cleared on every update.,apps,Yes
The QR code scanner is fast and accurate.,apps,No
The prix fixe menu changed weekly — always something new.,restaurants,No
Checkout time flexibility showed genuine guest-first thinking.,hotels,No
Great — the smart outlet required a different app each month.,ecommerce,Yes
Super — the power bank exploded in my backpack.,ecommerce,Yes
The multi-device sign-in is seamless.,apps,No
The ophthalmologist's treatment improved my vision measurably.,healthcare,No
Loved the waiter who recommended the most expensive item every time.,restaurants,Yes
Great — the 100-pack of batteries — half were dead on arrival.,ecommerce,Yes
Superb engineering — same error message for three months.,apps,Yes
Bookmarks are preserved across devices and updates.,apps,No
The reservation was honoured to the minute.,restaurants,No
The foreign-language film lost nothing in subtitled translation.,movies,No
The developer documentation is well-maintained.,apps,No
Brilliant — the documentary's conclusion contradicted its evidence.,movies,Yes
Brilliant — the fire drill started at 3am on my first night.,hotels,Yes
The tasting menu was an education in the local produce.,restaurants,No
Great — the 'friendly staff' were friendly to everyone except me.,restaurants,Yes
Fantastic — the protagonist solved the film's problem entirely by accident.,movies,Yes
Wonderful — the dog toy was destroyed before my dog saw it.,ecommerce,Yes
Super — the kids' safety scissors cut through nothing safely.,ecommerce,Yes
The membership discount was applied without any code.,ecommerce,No
Brilliant — the 'cooked to order' burger was clearly reheated.,restaurants,Yes
Wonderful — the bedside lamp illuminated only the ceiling.,hotels,Yes
Fantastic — the ensemble film gave the best actor the smallest role.,movies,Yes
Brilliant that the offline mode requires internet.,apps,Yes
Loved the appetizers that arrived after the main course.,restaurants,Yes
The physiotherapist adapted the plan to my progress.,healthcare,No
Great — the physio exercises were demonstrated only once and incorrectly.,healthcare,Yes
"Fantastic — the mixologist left to make cocktails, returned with water.",restaurants,Yes
Loved the 'genuine mahogany' shelves that were chipboard.,ecommerce,Yes
The voiceover was spare and only used when words couldn't wait.,movies,No
Fantastic — the collapsible straws collapsed mid-sip.,ecommerce,Yes
The post-credits scene was a genuine and earned extension.,movies,No
Brilliant — the 'sea view' was visible if you opened the window and craned your neck.,hotels,Yes
Wonderful — every light in the room flickered with the TV.,hotels,Yes
The cocktail was built tableside — a genuine spectacle.,restaurants,No
The in-room tablet's restaurant guide was current and helpful.,hotels,No
Brilliant — the comedy relief was the least funny part.,movies,Yes
Wonderful — the biopic left out everything interesting about the subject.,movies,Yes
The sharing plates arrived in a thoughtful order.,restaurants,No
The restaurant's noise level made conversation comfortable.,restaurants,No
Wonderful — the 'ambient lighting' meant I couldn't see my food.,restaurants,Yes
Loved the hotel whose 'award-winning' restaurant was closed for renovation.,hotels,Yes
Super — the screen protector scratched my screen.,ecommerce,Yes
Loved the 'stainless steel' that rusted within a week.,ecommerce,Yes
The hotel hosted a local art exhibition in the lobby.,hotels,No
Fantastic — the pharmacy gave me the wrong medication.,healthcare,Yes
Loved the 'improved' checkout that added extra steps.,apps,Yes
Brilliant — the fingerprint login works 1 in 10 times.,apps,Yes
Brilliant service — the food arrived before I'd ordered.,restaurants,Yes
Performance has been consistent across both my devices.,apps,No
The hospital food met my dietary requirements accurately.,healthcare,No
Wonderful — the refillable markers ran out of ink immediately.,ecommerce,Yes
Super — the standing desk collapsed when I stood at it.,ecommerce,Yes
The ENT specialist resolved a two-year issue in one appointment.,healthcare,No
Location services are used only when the app is open.,apps,No
The political themes were present without being preachy.,movies,No
Fantastic — the 'remember me' checkbox never remembers.,apps,Yes
Delivery driver left the item in the specified safe place.,ecommerce,No
Loved the blood pressure machine that gave three different readings.,healthcare,Yes
Super — the room card stopped working four times a day.,hotels,Yes
Prescription was sent electronically and ready on arrival.,healthcare,No
Loved the appetizers that arrived after the main course.,restaurants,Yes
Brilliant — the TV remote had dead batteries.,hotels,Yes
Fantastic — the film was 40% montage.,movies,Yes
The telehealth call was stable and the doctor was attentive.,healthcare,No
Wonderful — the dog toy was destroyed before my dog saw it.,ecommerce,Yes
Wonderful — the mystery's detective was less observant than the audience.,movies,Yes
Fantastic — the 'premium' gaming chair arrived in eight unlabelled pieces.,ecommerce,Yes
The GP spent 20 minutes with me without feeling rushed.,healthcare,No
Fantastic — the share sheet lists the same app 4 times.,apps,Yes
The recent update fixed the bug I reported. Impressive.,apps,No
Great — the dessert arrived before I'd started the main.,restaurants,Yes
The mental health team checked in after my first session.,healthcare,No
The step counter matches my fitness tracker closely.,apps,No
Great — the solar charger only works indoors apparently.,ecommerce,Yes
The period detail was meticulous without being distracting.,movies,No
The lunch service was as polished as the dinner service.,restaurants,No
Reception staff were friendly and efficient.,healthcare,No
Super — the outdoor jacuzzi was indoor due to 'weather'.,hotels,Yes
Wonderful — the tablecloth hid the table but not the wobble.,restaurants,Yes
Great — the 'nut-free' dessert contained ground almonds.,restaurants,Yes
Wonderful — the 'fast shipping' badge meant six-week delivery.,ecommerce,Yes
Loved discovering I need a premium plan to use the search bar.,apps,Yes
Great — the score was louder during dialogue than during action.,movies,Yes
The climactic scene was among the best-staged I've seen.,movies,No
Loved the waiter who recommended the most expensive item every time.,restaurants,Yes
Loved the seamless experience of the app forgetting my cart.,apps,Yes
Fantastic — the 'lifetime warranty' expired in 30 days.,ecommerce,Yes
Super — the vegan option had chicken on it.,restaurants,Yes
The vegetarian option was as considered as any meat dish.,restaurants,No
Great — the hotel charged a resort fee for a resort that wasn't there.,hotels,Yes
Fantastic dialogue — every line was a cliché.,movies,Yes
The hotel's recommended walking route was scenic and accurate.,hotels,No
Brilliant — the prescription ran out mid-course due to an error.,healthcare,Yes
Every scene served a purpose — no filler at any point.,movies,No
Great — the pasta was described as al dente and served as mush.,restaurants,Yes
The app's battery widget shows accurate real-time data.,apps,No
Loved the private beach that was shared with 600 guests.,hotels,Yes
Great — the content filter blocks legitimate searches.,apps,Yes
Great — the flashback scenes had better lighting than the present ones.,movies,Yes
Love how I have to sign up to read anything.,apps,Yes
Recommendations improve noticeably based on my preferences.,apps,No
Brilliant — the blood draw required four attempts.,healthcare,Yes
Great — no way to sort my own content alphabetically.,apps,Yes
Loved the 'silent' fan that sounded like a helicopter.,ecommerce,Yes
Loved the onboarding that asked me the same question twice.,apps,Yes
Wonderful — the aromatherapy diffuser diffused only water.,ecommerce,Yes
Wonderful — the 'award-winning' service couldn't find a spare towel.,hotels,Yes
Super — the 'light bite' starter weighed more than the main.,restaurants,Yes
The moral complexity was handled without false resolution.,movies,No
The physical comedy was perfectly timed throughout.,movies,No
A genuinely funny comedy that required zero cringe.,movies,No
Loved the 'professional chef knife' that bent cutting a tomato.,ecommerce,Yes
Super — the outdoor jacuzzi was indoor due to 'weather'.,hotels,Yes
Items ordered separately arrived on the same day.,ecommerce,No
The specialist's letter arrived before my follow-up.,healthcare,No
Super — the kettle worked but there were no cups.,hotels,Yes
The item was packaged in recycled materials — appreciated.,ecommerce,No
Wonderful — the 'quick blood test' required three visits to complete.,healthcare,Yes
Check-in was fast and the staff remembered my preferences.,hotels,No
So relieved the new update removed the undo button.,apps,Yes
The hotel's noise policy was enforced respectfully.,hotels,No
Brilliant service — the food arrived before I'd ordered.,restaurants,Yes
Brilliant — the spa appointment was double-booked.,hotels,Yes
Wonderful — the documentary felt more staged than fiction.,movies,Yes
Brilliant — the in-room safe locked with my passport inside.,hotels,Yes
Sync errors are described clearly with resolution steps.,apps,No
The in-room coffee machine used premium single-origin pods.,hotels,No
Fantastic — the film explained its own themes to the audience out loud.,movies,Yes
The in-room tablet's restaurant guide was current and helpful.,hotels,No
Fantastic — the 'farm-fresh eggs' were scrambled into foam.,restaurants,Yes
Live chat support is available and responsive.,apps,No
The waiter noted our dietary preferences without prompting.,restaurants,No
The product's companion app is polished and fully featured.,ecommerce,No
Brilliant — the X-ray machine was out of service for the third visit.,healthcare,Yes
The recent redesign improved usability without confusion.,apps,No
Great — the concierge confidently gave me the wrong bus number.,hotels,Yes
Loved the mental health 'support' hotline that rang out every time.,healthcare,Yes
Really enjoy the tooltip that covers the button I need.,apps,Yes
The product's folding mechanism is smooth and robust.,ecommerce,No
Brilliant — the iron scorched everything it touched.,hotels,Yes
Loved the awards bait that baited no awards.,movies,Yes
The restaurant's dog-friendly policy was well-organised.,restaurants,No
Discharge instructions were clear and written at an accessible level.,healthcare,No
Great — my 'limited edition' item is still in stock months later.,ecommerce,Yes
The receptionist found an earlier slot when one opened.,healthcare,No
Super — the 'adjacent rooms for family' booking put us on different floors.,hotels,Yes
Fantastic — the paediatrician's office lost my child's vaccination records.,healthcare,Yes
Great — the concierge recommended a restaurant that was closed.,hotels,Yes
Wonderful — the 'free' parking cost more than the room.,hotels,Yes
Wonderful — the nurse's tone was more frightening than the diagnosis.,healthcare,Yes
The urgent care centre triaged me promptly.,healthcare,No
Great story — recycled from five better movies.,movies,Yes
Phenomenal — the home feed is 90% sponsored posts.,apps,Yes
The prix fixe represented outstanding value.,restaurants,No
The kitchen's herb selection was visible in every dish's flavour.,restaurants,No
The air conditioning kept the room at a perfect temperature.,hotels,No
Super — the 'scratch-resistant' watch face scratched first day.,ecommerce,Yes
Super — the eye clinic gave me reading glasses for distance vision.,healthcare,Yes
Super — the portable projector projected a postage stamp image.,ecommerce,Yes
Passcode protection locks the app reliably when set.,apps,No
The smart packaging kept the fragile item intact.,ecommerce,No
The kitchen's herb selection was visible in every dish's flavour.,restaurants,No
Fantastic — the allergy-friendly dish had the allergen on it.,restaurants,Yes
The score amplified every scene without overwhelming the dialogue.,movies,No
The dialogue felt natural and character-specific.,movies,No
The tutorials are clear and can be revisited anytime.,apps,No
Really love how every deep link opens the wrong screen.,apps,Yes
Wonderful — the bedside lamp illuminated only the ceiling.,hotels,Yes
The adjustable settings make it suitable for all ages.,ecommerce,No
The dark mode is easy on the eyes at night.,apps,No
