Comment,Sentiment
Three weeks late and arrived damaged.,negative
The driver was rude and the vehicle was unsafe.,negative
This exceeded the already-high reviews I had read.,positive
The portion was adequate — neither generous nor stingy.,neutral
The service was polite but impersonal.,neutral
I'd use it again if no alternatives were available.,neutral
Best purchase I've made this year.,positive
The script and direction were both outstanding.,positive
I'd use it again if no alternatives were available.,neutral
The doctor was dismissive and failed to examine me.,negative
The room was dirty and smelled unpleasant.,negative
The signal strength has been reliable in every location I've tried.,positive
The staff went out of their way to accommodate my allergy.,positive
The booking confirmation arrived within the standard window.,neutral
Genuinely the best in its category.,positive
I've filed a complaint with the relevant authority.,negative
The reception staff answered my question competently.,neutral
The booking process was standard and worked without issues.,neutral
The experience has made me distrust this brand entirely.,negative
Truly one of the best apps I've installed.,positive
It gets the job done.,neutral
The medication side effects were not disclosed.,negative
The packaging was sustainable and thoughtfully designed.,positive
Acceptable value for an occasional purchase.,neutral
The staff behaved unprofessionally throughout.,negative
The streaming quality remained high even during peak hours.,positive
I am seeking a full refund through my bank.,negative
The quality is outstanding for the price.,positive
Everything about this experience was first class.,positive
The colour matched one of the product photo options.,neutral
The movie told a coherent story without particular flair.,neutral
The vehicle was not roadworthy and was still hired out.,negative
The platform is reliable and the analytics are clear.,positive
Reasonable value for a standard product.,neutral
The packaging was easy to open and recycling-appropriate.,neutral
The service was so poor I submitted a formal complaint.,negative
The product stopped working after minimal use.,negative
The texture and quality of the fabric are exceptional.,positive
It meets the basic requirements without excelling anywhere.,neutral
The restaurant was busy but managed the service reasonably well.,neutral
I particularly appreciated how the results were communicated clearly.,positive
A rare product that delivers exactly what it advertises.,positive
The app deleted years of saved content.,negative
Everything about this experience was first class.,positive
The delivery company lost my parcel and blamed me.,negative
The registration process took the expected amount of time.,neutral
I appreciated the proactive communication about my order status.,positive
The experience was what I expected — no surprises either way.,neutral
The customer support team was incredibly helpful.,positive
The staff recognised my special occasion and added a lovely touch.,positive
The misleading description should face regulatory scrutiny.,negative
The return process was designed to discourage returns.,negative
The subscription has paid for itself three times over.,positive
The interface is intuitive and a pleasure to use.,positive
The booking process was standard and worked without issues.,neutral
The booking confirmation arrived within the standard window.,neutral
It performed flawlessly in even the most demanding conditions.,positive
The experience was seamless from browsing to delivery.,positive
The breakfast selection was extensive and everything was fresh.,positive
I had to chase the order four times before it arrived.,negative
I was kept on hold for two hours and disconnected.,negative
The design is straightforward and sensible.,neutral
The room wasn't cleaned during my three-night stay.,negative
The instructions were adequate once I reread them.,neutral
The movie held my attention without captivating it.,neutral
The flavours were bold and perfectly balanced.,positive
The film was competently made but unremarkable.,neutral
The store layout made finding everything easy.,positive
This is a product I would actively warn others about.,negative
The battery life on this device is genuinely impressive.,positive
The product has worked perfectly every single day.,positive
The quality is outstanding for the price.,positive
It performed flawlessly in even the most demanding conditions.,positive
A standout product in a crowded market.,positive
The cancellation process was straightforward.,neutral
Every member of staff I encountered was helpful and professional.,positive
Every course in the tasting menu was a highlight.,positive
The temperature was dangerous — not the stated 'warm.',negative
The food gave me food poisoning.,negative
I felt heard and well-cared-for throughout my appointment.,positive
The noise from adjacent rooms made sleeping impossible.,negative
Entirely not fit for the purpose described.,negative
It's an average experience for the price range.,neutral
The staff went out of their way to accommodate my allergy.,positive
I've filed a complaint with the relevant authority.,negative
I have used this daily for a year with zero issues.,positive
The room was functional and clean.,neutral
The portion size was acceptable.,neutral
I recommended it to everyone in my family.,positive
The quality is outstanding for the price.,positive
The app deleted years of saved content.,negative
The pharmacy dispensed the wrong medication.,negative
The checkout flow was smooth and I had my order confirmed instantly.,positive
The product poses a clear fire risk.,negative
Setup took less than five minutes and worked first time.,positive
Everything arrived correctly labelled and ready to use.,positive
The film's ending was completely incoherent.,negative
"Not bad, but there are likely better options at this price.",neutral
The streaming kept buffering throughout.,negative
The product was counterfeit — not the brand advertised.,negative
The subscription has paid for itself three times over.,positive
"I don't regret the purchase, but I won't reorder automatically.",neutral
The staff ignored my disability and provided no assistance.,negative
Everything arrived correctly labelled and ready to use.,positive
The upgrade in materials is immediately noticeable.,positive
The experience was what I expected — no surprises either way.,neutral
The meal was an experience I'll be talking about for months.,positive
Absolutely fantastic service from start to finish.,positive
The portion size was acceptable.,neutral
I've filed a complaint with the relevant authority.,negative
The temperature was dangerous — not the stated 'warm.',negative
Everything about this experience was first class.,positive
I was blown away by the attention to detail.,positive
Worst value for money I have encountered.,negative
The quality is outstanding for the price.,positive
Quality has declined significantly since my last purchase.,negative
I received personalised advice that was genuinely useful.,positive
I would not recommend this to anyone.,negative
The seat was broken and no alternative was offered.,negative
An inoffensive and forgettable experience.,neutral
Acceptable for a budget option.,neutral
It performs adequately under normal conditions.,neutral
The tablet's performance is adequate for basic tasks.,neutral
The team went above and beyond to resolve my query.,positive
I've been a loyal customer for three years and it keeps getting better.,positive
I'd use it again if no alternatives were available.,neutral
My meal contained an allergen I had clearly declared.,negative
The entire process was opaque and frustrating.,negative
The flavours were bold and perfectly balanced.,positive
The hotel's advertised amenities were unavailable.,negative
The flavour was present but subtle.,neutral
The service was so poor I submitted a formal complaint.,negative
No complaints — no particular compliments either.,neutral
The repair was completed faster than quoted and cost less.,positive
"The food was hot, fresh, and well-seasoned.",positive
The food was fine but not exceptional.,neutral
Everything arrived correctly labelled and ready to use.,positive
The noise from adjacent rooms made sleeping impossible.,negative
